accuracy,macro_f1,confusion,n_fav_loses,n_draw,n_fav_wins,experiment,split_role,model_key,model_name,train_years,stage,n_test
0.7083333333333334,0.2764227642276423,"[[0, 0, 4], [0, 0, 9], [0, 1, 34]]",4,9,35,B1_validate_2018_train_through_2014,validation,baseline,Baseline,"2006,2010,2014",group_stage,48
0.625,0.38461538461538464,"[[0, 0, 6], [0, 0, 0], [0, 0, 10]]",6,0,10,B1_validate_2018_train_through_2014,validation,baseline,Baseline,"2006,2010,2014",knockout_stage,16
0.6666666666666666,0.270042194092827,"[[0, 1, 3], [0, 0, 9], [2, 1, 32]]",4,9,35,B1_validate_2018_train_through_2014,validation,player_enriched,Player-enriched,"2006,2010,2014",group_stage,48
0.75,0.6666666666666666,"[[2, 0, 4], [0, 0, 0], [0, 0, 10]]",6,0,10,B1_validate_2018_train_through_2014,validation,player_enriched,Player-enriched,"2006,2010,2014",knockout_stage,16
0.6666666666666666,0.26666666666666666,"[[0, 0, 4], [0, 0, 9], [1, 2, 32]]",4,9,35,B1_validate_2018_train_through_2014,validation,team_history,Team-history,"1998,2002,2006,2010,2014",group_stage,48
0.625,0.38461538461538464,"[[0, 0, 6], [0, 0, 0], [0, 0, 10]]",6,0,10,B1_validate_2018_train_through_2014,validation,team_history,Team-history,"1998,2002,2006,2010,2014",knockout_stage,16
0.5625,0.24,"[[0, 0, 11], [0, 0, 10], [0, 0, 27]]",11,10,27,B2_final_2022_refit_through_2018,final_test,baseline,Baseline,"2006,2010,2014,2018",group_stage,48
0.8125,0.4482758620689655,"[[0, 0, 3], [0, 0, 0], [0, 0, 13]]",3,0,13,B2_final_2022_refit_through_2018,final_test,baseline,Baseline,"2006,2010,2014,2018",knockout_stage,16
0.5416666666666666,0.2374429223744292,"[[0, 0, 11], [1, 0, 9], [0, 1, 26]]",11,10,27,B2_final_2022_refit_through_2018,final_test,player_enriched,Player-enriched,"2006,2010,2014,2018",group_stage,48
0.8125,0.4482758620689655,"[[0, 0, 3], [0, 0, 0], [0, 0, 13]]",3,0,13,B2_final_2022_refit_through_2018,final_test,player_enriched,Player-enriched,"2006,2010,2014,2018",knockout_stage,16
0.5625,0.24,"[[0, 0, 11], [0, 0, 10], [0, 0, 27]]",11,10,27,B2_final_2022_refit_through_2018,final_test,team_history,Team-history,"1998,2002,2006,2010,2014,2018",group_stage,48
0.8125,0.4482758620689655,"[[0, 0, 3], [0, 0, 0], [0, 0, 13]]",3,0,13,B2_final_2022_refit_through_2018,final_test,team_history,Team-history,"1998,2002,2006,2010,2014,2018",knockout_stage,16
0.5625,0.24,"[[0, 0, 11], [0, 0, 10], [0, 0, 27]]",11,10,27,B3_supplement_2022_no_refit_train_through_2014,supplemental_no_refit,baseline,Baseline,"2006,2010,2014",group_stage,48
0.8125,0.4482758620689655,"[[0, 0, 3], [0, 0, 0], [0, 0, 13]]",3,0,13,B3_supplement_2022_no_refit_train_through_2014,supplemental_no_refit,baseline,Baseline,"2006,2010,2014",knockout_stage,16
0.5625,0.2929984779299848,"[[0, 0, 11], [0, 1, 9], [0, 1, 26]]",11,10,27,B3_supplement_2022_no_refit_train_through_2014,supplemental_no_refit,player_enriched,Player-enriched,"2006,2010,2014",group_stage,48
0.8125,0.4482758620689655,"[[0, 0, 3], [0, 0, 0], [0, 0, 13]]",3,0,13,B3_supplement_2022_no_refit_train_through_2014,supplemental_no_refit,player_enriched,Player-enriched,"2006,2010,2014",knockout_stage,16
0.5833333333333334,0.3038493038493039,"[[0, 0, 11], [0, 1, 9], [0, 0, 27]]",11,10,27,B3_supplement_2022_no_refit_train_through_2014,supplemental_no_refit,team_history,Team-history,"1998,2002,2006,2010,2014",group_stage,48
0.8125,0.4482758620689655,"[[0, 0, 3], [0, 0, 0], [0, 0, 13]]",3,0,13,B3_supplement_2022_no_refit_train_through_2014,supplemental_no_refit,team_history,Team-history,"1998,2002,2006,2010,2014",knockout_stage,16
