stage,model_key,model_name,metric,n,point_estimate,mean,sd,minus_2sd,plus_2sd,ci_low,ci_high
group_stage,team_history,Team-history,accuracy,96,0.625,0.62495625,0.049110388701190964,0.5267354725976181,0.7231770274023819,0.53125,0.71875
group_stage,team_history,Team-history,macro_f1,96,0.28571428571428575,0.28344078763602476,0.03165340148466461,0.22013398466669554,0.346747590605354,0.23423423423423426,0.353436167945439
group_stage,player_enriched,Player-enriched,accuracy,96,0.6145833333333334,0.6142229166666666,0.04922871897934705,0.5157654787079725,0.7126803546253607,0.5208333333333334,0.7083333333333334
group_stage,player_enriched,Player-enriched,macro_f1,96,0.2833714721586575,0.2810498594211856,0.030507883406120803,0.220034092608944,0.3420656262334272,0.23423423423423426,0.3500028604118992
knockout_stage,team_history,Team-history,accuracy,32,0.71875,0.71805,0.07942413684581495,0.5592017263083701,0.8768982736916299,0.5625,0.875
knockout_stage,team_history,Team-history,macro_f1,32,0.41818181818181815,0.41668270388667406,0.027364814357209662,0.3619530751722547,0.4714123326010934,0.36,0.4666666666666667
knockout_stage,player_enriched,Player-enriched,accuracy,32,0.78125,0.78025625,0.07232373516329957,0.6356087796734009,0.9249037203265991,0.625,0.90625
knockout_stage,player_enriched,Player-enriched,macro_f1,32,0.6157804459691253,0.6020210755813697,0.10602337171616909,0.38997433214903154,0.814067819013708,0.4181439393939394,0.806060606060606
overall,team_history,Team-history,accuracy,128,0.6484375,0.648640625,0.04249888154008652,0.5636428619198269,0.733638388080173,0.5625,0.7265625
overall,team_history,Team-history,macro_f1,128,0.291866028708134,0.2901307979755664,0.03104656461496164,0.22803766874564313,0.3522239272054897,0.2442244224422442,0.3593403354071418
overall,player_enriched,Player-enriched,accuracy,128,0.65625,0.6563046875,0.041839338197326346,0.5726260111053474,0.7399833638946527,0.578125,0.734375
overall,player_enriched,Player-enriched,macro_f1,128,0.34001918901176587,0.3364436611936069,0.042845416655237126,0.2507528278831327,0.42213449450408114,0.26222966926250607,0.4274925984206079
